id,name,deprecatedInFavorOf,udunitSynonym,parentSi,constantToSi,multiplierToSi,abbreviation,unitType
millihertz,millihertz,,millihertz,hertz,,0.001,mHz,frequency
newton,newton,,newton,,,1,N,force
joule,joule,,joule,,,1,J,energy
calorie,calorie,,IT_calorie,joule,,4.1868,cal,energy
britishThermalUnit,britishThermalUnit,,IT_Btu,joule,,1055.0559,btu,energy
footPound,footPound,,international_foot pound_force,joule,,1.355818,,energy
langley,langley,,langley,joulePerMeterSquared,0,41840,Ly,arealEnergyDensity
lumen,lumen,,lumen,,,1,lm,luminosity
lux,lux,,lux,,,1,lx,illuminance
becquerel,becquerel,,becquerel,,,1,Bq,radionucleotideActivity
gray,gray,,gray,,,1,Gy,specificEnergy
sievert,sievert,,sievert,,,1,Sv,doseEquivalent
katal,katal,,katal,,,1,kat,catalyticActivity
henry,henry,,henry,,,1,H,inductance
megawatt,megawatt,,megawatt,watt,,1000000,MW,power
kilowatt,kilowatt,,kilowatt,watt,,1000,kW,power
watt,watt,,watt,,,1,W,power
milliwatt,milliwatt,,milliwatt,watt,,0.001,mW,power
megavolt,megavolt,,megavolt,volt,,1000000,MV,potentialDifference
kilovolt,kilovolt,,kilovolt,volt,,1000,kV,potentialDifference
volt,volt,,volt,,,1,V,potentialDifference
millivolt,millivolt,,millivolt,volt,,0.001,mV,potentialDifference
farad,farad,,farad,,,1,F,capacitance
ohm,ohm,,ohm,,,1,Ω,resistance
ohmMeter,ohmMeter,,ohm meter,,,1,Ωm,resistivity
siemensPerMeter,siemensPerMeter,,siemens/meter,siemensPerMeter,,1,S/m,
siemensPerCentimeter,siemensPerCentimeter,,siemens/centimeter,siemensPerMeter,,.01,S/cm,
siemen,siemen,siemens,siemens,,,1,S,conductance
siemens,siemens,,siemens,siemens,,1,S,
weber,weber,,weber,,,1,Wb,magneticFlux
tesla,tesla,,tesla,,,1,T,magneticFluxDensity
pascal,pascal,,pascal,,,1,Pa,pressure
megapascal,megapascal,,megapascal,pascal,,1000000,MPa,pressure
kilopascal,kilopascal,,kilopascal,pascal,,1000,kPa,pressure
hectopascal,hectopascal,,hectopascal,pascal,,100,hPa,pressure
atmosphere,atmosphere,,standard_atmosphere,pascal,,101325,atm,pressure
bar,bar,,bar,pascal,,100000,bar,pressure
millibar,millibar,,millibar,pascal,,100,mbar,pressure
decibar,decibar,,decibar,pascal,,10000,dbar,pressure
kilogramsPerSquareMeter,kilogramsPerSquareMeter,kilogramPerMeterSquared,kilogram/meter^2,,,1,kg/m²,arealMassDensity
gramsPerSquareMeter,gramsPerSquareMeter,gramPerMeterSquared,gram/meter^2,kilogramPerMeterSquared,,0.001,g/m²,arealMassDensity
milligramsPerSquareMeter,milligramsPerSquareMeter,milligramPerMeterSquared,milligram/meter^2,kilogramPerMeterSquared,,0.000001,mg/m²,arealMassDensity
kilogramsPerHectare,kilogramsPerHectare,kilogramPerHectare,kilogram/hectare,kilogramPerMeterSquared,,0.0001,,arealMassDensity
tonnePerHectare,tonnePerHectare,,metric_ton/hectare,kilogramPerMeterSquared,,0.1,,arealMassDensity
poundsPerSquareInch,poundsPerSquareInch,poundPerInchSquared,avoirdupois_pound/international_inch^2,kilogramPerMeterSquared,,703.0696,lbs/in²,arealMassDensity
gramPercentimeterSquared,gramPercentimeterSquared,,gram/cm^2,kilogramPerMeterSquared,,10,g/cm²,arealMassDensity
gramPerMeterSquared,gramPerMeterSquared,,gram/meter^2,kilogramPerMeterSquared,,0.001,g/m²,arealMassDensity
kilogramPerHectare,kilogramPerHectare,,kilogram/hectare,kilogramPerMeterSquared,,0.0001,kg/hectare,arealMassDensity
kilogramPerMeterSquared,kilogramPerMeterSquared,,kilogram/meter^2,kilogramPerMeterSquared,,1,kg/m²,arealMassDensity
milligramPerMeterSquared,milligramPerMeterSquared,,milligram/meter^2,kilogramPerMeterSquared,,0.000001,mg/m²,arealMassDensity
poundPerAcre,poundPerAcre,,avoirdupois_pound/acre,kilogramPerMeterSquared,,0.000112084667279431,lb/acre,arealMassDensity
poundPerInchSquared,poundPerInchSquared,,avoirdupois_pound/international_inch^2,kilogramPerMeterSquared,,703.0696,lbs/in²,arealMassDensity
kilogramPerCubicMeter,kilogramPerCubicMeter,kilogramPerMeterCubed,kilogram/meter^3,,,1,,massDensity
milliGramsPerMilliLiter,milliGramsPerMilliLiter,milligramPerMilliliter,milligram/milliliter,kilogramPerMeterCubed,,1,kg/m³,massDensity
gramsPerLiter,gramsPerLiter,gramPerLiter,gram/liter,kilogramPerMeterCubed,,1,g/l,massDensity
milligramsPerCubicMeter,milligramsPerCubicMeter,milligramPerMeterCubed,milligram/meter^3,kilogramPerMeterCubed,,0.000001,mg/m³,massDensity
microgramsPerLiter,microgramsPerLiter,microgramPerLiter,microgram/liter,kilogramPerMeterCubed,,0.000001,μg/l,massDensity
milligramsPerLiter,milligramsPerLiter,milligramPerLiter,milligram/liter,kilogramPerMeterCubed,,0.001,mg/l,massDensity
gramsPerCubicCentimeter,gramsPerCubicCentimeter,gramPerCentimeterCubed,gram/centimeter^3,kilogramPerMeterCubed,,1000,g/cm³,massDensity
gramsPerMilliliter,gramsPerMilliliter,gramPerMilliliter,gram/milliliter,kilogramPerMeterCubed,,1000,g/ml,massDensity
gramPerCentimeterCubed,gramPerCentimeterCubed,,gram/centimeter^3,kilogramPerMeterCubed,,1000,g/cm³,massDensity
gramPerLiter,gramPerLiter,,gram/liter,kilogramPerMeterCubed,,1,g/l,massDensity
gramPerMilliliter,gramPerMilliliter,,gram/milliliter,kilogramPerMeterCubed,,1000,g/ml,massDensity
microgramPerLiter,microgramPerLiter,,microgram/liter,kilogramPerMeterCubed,,0.000001,μg/l,massDensity
milligramPerLiter,milligramPerLiter,,milligram/liter,kilogramPerMeterCubed,,0.001,mg/l,massDensity
milligramPerMeterCubed,milligramPerMeterCubed,,milligram/meter^3,kilogramPerMeterCubed,,0.000001,mg/m³,massDensity
kilogramPerMeterCubed,kilogramPerMeterCubed,,kilogram/meter^3,kilogramPerMeterCubed,,1,kg/m³,massDensity
megagramPerMeterCubed,megagramPerMeterCubed,,megagram/meter^3,kilogramPerMeterCubed,,1000,Mg/m³,massDensity
milligramPerMilliliter,milligramPerMilliliter,,milligram/milliliter,kilogramPerMeterCubed,,1,mg/ml,massDensity
gramsPerLiterPerDay,gramsPerLiterPerDay,gramPerDayPerLiter,gram/liter/day,,,1,,volumetricMassDensityRate
